Minutes5DK,Minutes5UTC,CO2Emission,PriceArea
2019-12-15T07:20:00,2019-12-15T06:20:00+00:00,81,DK1
2019-12-15T07:25:00,2019-12-15T06:25:00+00:00,83,DK1
2019-12-15T07:30:00,2019-12-15T06:30:00+00:00,84,DK1
2019-12-15T07:35:00,2019-12-15T06:35:00+00:00,84,DK1
2019-12-15T07:40:00,2019-12-15T06:40:00+00:00,86,DK1
2019-12-15T07:45:00,2019-12-15T06:45:00+00:00,87,DK1
2019-12-15T07:50:00,2019-12-15T06:50:00+00:00,87,DK1
2019-12-15T07:55:00,2019-12-15T06:55:00+00:00,88,DK1
2019-12-15T08:00:00,2019-12-15T07:00:00+00:00,89,DK1
2019-12-15T08:05:00,2019-12-15T07:05:00+00:00,87,DK1
2019-12-15T08:10:00,2019-12-15T07:10:00+00:00,86,DK1
2019-12-15T08:15:00,2019-12-15T07:15:00+00:00,84,DK1
2019-12-15T08:20:00,2019-12-15T07:20:00+00:00,83,DK1
2019-12-15T08:25:00,2019-12-15T07:25:00+00:00,85,DK1
2019-12-15T08:30:00,2019-12-15T07:30:00+00:00,83,DK1
2019-12-15T08:35:00,2019-12-15T07:35:00+00:00,83,DK1
2019-12-15T08:40:00,2019-12-15T07:40:00+00:00,81,DK1
2019-12-15T08:45:00,2019-12-15T07:45:00+00:00,81,DK1
2019-12-15T08:50:00,2019-12-15T07:50:00+00:00,81,DK1
2019-12-15T08:55:00,2019-12-15T07:55:00+00:00,86,DK1
2019-12-15T09:00:00,2019-12-15T08:00:00+00:00,92,DK1
2019-12-15T09:05:00,2019-12-15T08:05:00+00:00,91,DK1
2019-12-15T09:10:00,2019-12-15T08:10:00+00:00,91,DK1
2019-12-15T09:15:00,2019-12-15T08:15:00+00:00,89,DK1
2019-12-15T09:20:00,2019-12-15T08:20:00+00:00,90,DK1
2019-12-15T09:25:00,2019-12-15T08:25:00+00:00,89,DK1
2019-12-15T09:30:00,2019-12-15T08:30:00+00:00,87,DK1
2019-12-15T09:35:00,2019-12-15T08:35:00+00:00,87,DK1
2019-12-15T09:40:00,2019-12-15T08:40:00+00:00,86,DK1
2019-12-15T09:45:00,2019-12-15T08:45:00+00:00,84,DK1
2019-12-15T09:50:00,2019-12-15T08:50:00+00:00,83,DK1
2019-12-15T09:55:00,2019-12-15T08:55:00+00:00,84,DK1
2019-12-15T10:00:00,2019-12-15T09:00:00+00:00,83,DK1
2019-12-15T10:05:00,2019-12-15T09:05:00+00:00,83,DK1
2019-12-15T10:10:00,2019-12-15T09:10:00+00:00,82,DK1
2019-12-15T10:15:00,2019-12-15T09:15:00+00:00,81,DK1
2019-12-15T10:20:00,2019-12-15T09:20:00+00:00,81,DK1
2019-12-15T10:25:00,2019-12-15T09:25:00+00:00,81,DK1
2019-12-15T10:30:00,2019-12-15T09:30:00+00:00,81,DK1
2019-12-15T10:35:00,2019-12-15T09:35:00+00:00,81,DK1
2019-12-15T10:40:00,2019-12-15T09:40:00+00:00,81,DK1
2019-12-15T10:45:00,2019-12-15T09:45:00+00:00,80,DK1
2019-12-15T10:50:00,2019-12-15T09:50:00+00:00,79,DK1
2019-12-15T10:55:00,2019-12-15T09:55:00+00:00,78,DK1
2019-12-15T11:00:00,2019-12-15T10:00:00+00:00,77,DK1
2019-12-15T11:05:00,2019-12-15T10:05:00+00:00,76,DK1
2019-12-15T11:10:00,2019-12-15T10:10:00+00:00,76,DK1
2019-12-15T11:15:00,2019-12-15T10:15:00+00:00,76,DK1
2019-12-15T11:20:00,2019-12-15T10:20:00+00:00,75,DK1
2019-12-15T11:25:00,2019-12-15T10:25:00+00:00,75,DK1
2019-12-15T11:30:00,2019-12-15T10:30:00+00:00,74,DK1
2019-12-15T11:35:00,2019-12-15T10:35:00+00:00,74,DK1
2019-12-15T11:40:00,2019-12-15T10:40:00+00:00,74,DK1
2019-12-15T11:45:00,2019-12-15T10:45:00+00:00,74,DK1
2019-12-15T11:50:00,2019-12-15T10:50:00+00:00,74,DK1
2019-12-15T11:55:00,2019-12-15T10:55:00+00:00,73,DK1
2019-12-15T12:00:00,2019-12-15T11:00:00+00:00,73,DK1
2019-12-15T12:05:00,2019-12-15T11:05:00+00:00,72,DK1
2019-12-15T12:10:00,2019-12-15T11:10:00+00:00,71,DK1
2019-12-15T12:15:00,2019-12-15T11:15:00+00:00,71,DK1
2019-12-15T12:20:00,2019-12-15T11:20:00+00:00,71,DK1
2019-12-15T12:25:00,2019-12-15T11:25:00+00:00,70,DK1
2019-12-15T12:30:00,2019-12-15T11:30:00+00:00,70,DK1
2019-12-15T12:35:00,2019-12-15T11:35:00+00:00,69,DK1
2019-12-15T12:40:00,2019-12-15T11:40:00+00:00,69,DK1
2019-12-15T12:45:00,2019-12-15T11:45:00+00:00,70,DK1
